;0
Material;-6,243936848415862
Communication_Services;-34,178469014040786
Energy;41,79887018926555
Financial;-11,986987750400571
Industrial;-2,894203104496655
Technology;-19,907507872988052
Consumer_Staples;1,174858222834694
Real_State;-19,28130339715215
Utilities;5,368950806446481
Health_Care;4,653577917314896
Consumer_Discretionary;-29,072779975595637
